date,Owners
2023/3/13,727000
2023/3/14,728000
2023/3/15,728000
2023/3/16,730000
2023/3/17,729000
2023/3/18,728000
2023/3/19,732000
2023/3/20,734000
2023/3/21,734000
2023/3/22,734000
2023/3/23,740000
2023/3/24,741000
2023/3/25,740000
2023/3/26,740000
2023/3/27,740000
2023/3/28,740000
2023/3/29,750000
2023/3/30,754000
2023/3/31,756000
2023/4/1,752000
2023/4/2,756000
2023/4/3,756000
2023/4/4,762000
2023/4/5,764000
2023/4/6,771000
2023/4/7,770000
2023/4/8,768000
2023/4/9,768000
2023/4/10,776000
2023/4/11,781000
2023/4/12,784000
2023/4/13,786000
2023/4/14,788000
2023/4/15,788000
2023/4/16,788000
2023/4/17,792000
2023/4/18,794000
2023/4/19,795000
2023/4/20,796000
2023/4/21,797000
2023/4/22,797000
2023/4/23,799000
2023/4/24,800000
2023/4/25,801000
2023/4/26,803000
2023/4/27,804000
2023/4/28,805000
2023/4/29,805000
2023/4/30,799000
2023/5/1,800000
2023/5/2,803000
2023/5/3,804000
2023/5/4,804000
2023/5/5,804000
2023/5/6,794000
2023/5/7,792000
2023/5/8,802000
2023/5/9,805000
2023/5/10,808000
2023/5/11,808000
2023/5/12,812000
2023/5/13,807000
2023/5/14,810000
2023/5/15,823000
2023/5/16,826000
2023/5/17,831000
2023/5/18,831000
2023/5/19,832000
2023/5/20,828000
2023/5/21,831000
2023/5/22,839000
2023/5/23,841000
2023/5/24,841000
2023/5/25,845000
2023/5/26,844000
2023/5/27,842000
2023/5/28,843000
2023/5/29,848000
2023/5/30,848000
2023/5/31,855000
2023/6/1,855000
2023/6/2,856000
2023/6/3,853000
2023/6/4,854000
2023/6/5,854000
2023/6/6,859000
2023/6/7,861000
2023/6/8,863000
2023/6/9,863000
2023/6/10,863000
2023/6/11,861000
2023/6/12,865000
2023/6/13,866000
2023/6/14,866000
2023/6/15,867000
2023/6/16,867000
2023/6/17,865000
2023/6/18,865000
2023/6/19,869000
2023/6/20,870000
2023/6/21,870000
2023/6/22,870000
2023/6/23,871000
2023/6/24,870000
2023/6/25,871000
2023/6/26,874000
2023/6/27,874000
2023/6/28,876000
2023/6/29,877000
2023/6/30,870000
2023/7/1,870000
2023/7/2,849000
2023/7/3,852000
2023/7/4,850000
2023/7/5,850000
2023/7/6,854000
2023/7/7,854000
2023/7/8,851000
2023/7/9,851000
2023/7/10,853000
2023/7/11,855000
2023/7/12,857000
2023/7/13,857000
2023/7/14,862000
2023/7/15,859000
2023/7/16,860000
2023/7/17,860000
2023/7/18,870000
2023/7/19,877000
2023/7/20,882000
2023/7/21,882000
2023/7/22,881000
2023/7/23,881000
2023/7/24,889000
2023/7/25,892000
2023/7/26,892000
2023/7/27,896000
2023/7/28,900000
2023/7/29,895000
2023/7/30,895000
2023/7/31,902000
2023/8/1,906000
2023/8/2,909000
2023/8/3,913000
2023/8/4,913000
2023/8/5,911000
2023/8/6,911000
2023/8/7,916000
2023/8/8,916000
2023/8/9,917000
2023/8/10,918000
2023/8/11,919000
2023/8/12,919000
2023/8/13,918000
2023/8/14,919000
2023/8/15,921000
2023/8/16,921000
2023/8/17,921000
2023/8/18,924000
2023/8/19,924000
2023/8/20,924000
2023/8/21,925000
2023/8/22,926000
2023/8/23,926000
2023/8/24,926000
2023/8/25,927000
2023/8/26,927000
2023/8/27,927000
2023/8/28,927000
2023/8/29,929000
2023/8/30,931000
2023/8/31,931000
2023/9/1,931000
2023/9/2,931000
2023/9/3,931000
2023/9/4,933000
2023/9/5,933000
2023/9/6,933000
2023/9/7,934000
2023/9/8,934000
2023/9/9,934000
2023/9/10,934000
2023/9/11,935000
2023/9/12,935000
2023/9/13,935000
2023/9/14,935000
2023/9/15,936000
2023/9/16,935000
2023/9/17,935000
2023/9/18,935000
2023/9/19,936000
2023/9/20,937000
2023/9/21,937000
2023/9/22,937000
2023/9/23,940000
2023/9/24,941000
2023/9/25,940000
2023/9/26,940000
2023/9/27,942000
2023/9/28,943000
2023/9/29,943000
2023/9/30,943000
2023/10/1,943000
2023/10/2,945000
2023/10/3,946000
2023/10/4,946000
2023/10/5,946000
2023/10/6,948000
2023/10/7,948000
2023/10/8,948000
2023/10/9,949000
2023/10/10,950000
2023/10/11,950000
2023/10/12,950000
2023/10/13,951000
2023/10/14,951000
2023/10/15,951000
2023/10/16,951000
2023/10/17,953000
2023/10/18,953000
2023/10/19,953000
2023/10/20,954000
2023/10/21,954000
2023/10/22,955000
2023/10/23,955000
2023/10/24,956000
2023/10/25,956000
2023/10/26,956000
2023/10/27,957000
2023/10/28,957000
2023/10/29,958000
2023/10/30,958000
2023/10/31,958000
